   72 1936  mar    12    19.1    89.7     2.9    -2.1     2.1   924.6      .1
   73 1936  mar    13    19.9    89.6     3.7    -2.6     2.6   926.8      .1
   74 1936  mar    14    20.5    89.5     2.0    -1.4    -1.4   928.3     1.9
   75 1936  mar    15    19.9    90.9     2.4    -1.7    -1.7   926.9     4.3
   76 1936  mar    16    20.3    89.3     3.7    -1.4    -3.4   925.4     8.7
   77 1936  mar    17    21.3    87.0     2.1    -1.5     1.5   926.5      .1
   78 1936  mar    18    20.3    89.0     3.1    -2.2     2.2   928.1      .0
   79 1936  mar    19    20.7    88.2     3.1    -2.2     2.2   927.2      .0
   80 1936  mar    20    21.3    87.0     2.4    -1.7     1.7   925.3      .0
   81 1936  mar    21    23.2    76.3     2.6    -1.8    -1.8   925.2      .0
   82 1936  mar    22    22.0    80.5     2.4    -1.7    -1.7   925.3     5.4
   83 1936  mar    23    20.6    87.7     2.4    -1.7     1.7   924.8     3.0
   84 1936  mar    24    22.1    83.2     3.7    -2.6    -2.6   923.3      .0
   85 1936  mar    25    22.4    80.6     4.3     1.6    -4.0   921.2      .0
   86 1936  mar    26    21.9    83.0     3.8     2.7    -2.7   923.9      .3
   87 1936  mar    27    17.7    95.0     5.1    -3.6     3.6   928.9    12.4
   88 1936  mar    28    16.2    92.0     5.8    -4.1     4.1   930.1     2.0
   89 1936  mar    29    17.5    91.2     3.5    -2.5     2.5   928.3    30.8
   90 1936  mar    30    18.0    88.4     3.2    -2.3     2.3   926.5      .5
   91 1936  mar    31    17.2    87.0     2.7    -1.9     1.9   926.1      .0
   92 1936  apr     1    17.2    84.6     1.3     -.5     1.2   923.9      .3
   93 1936  apr     2    18.7    76.9     2.1      .0    -2.1   924.6      .0
   94 1936  apr     3    20.2    79.7     1.3      .0    -1.3   925.6      .0
   95 1936  apr     4    20.9    79.7     2.5     -.9     2.3   923.8      .7
   96 1936  apr     5    18.7    91.5     2.4     -.9     2.3   923.8     1.0
   97 1936  apr     6    18.2    89.8     2.3    -1.6     1.6   923.5      .0
   98 1936  apr     7    20.4    85.3     2.8    -2.0    -2.0   924.4      .1
   99 1936  apr     8    20.9    83.4     2.4    -2.2     -.9   925.8      .2
  100 1936  apr     9    21.1    83.0     2.8    -2.5    -1.1   926.1     2.3
  101 1936  apr    10    20.9    88.7     2.4      .9    -2.2   925.9     1.0
  102 1936  apr    11    21.7    87.1     1.9      .0    -1.9   924.7      .2
  103 1936  apr    12    22.6    79.3     4.4    -3.1    -3.1   923.1      .0
  104 1936  apr    13    19.9    88.8     3.4     3.2    -1.3   924.1     7.4
  105 1936  apr    14    15.5    92.3     4.6      .0     4.6   925.9      .5
  106 1936  apr    15    14.2    91.4     3.6      .0     3.6   928.2     3.7
  107 1936  apr    16    14.8    87.7     4.1    -1.6     3.8   929.2      .0
  108 1936  apr    17    15.9    86.8     4.2    -3.0     3.0   929.0      .0
  109 1936  apr    18    16.3    88.9     2.9    -2.1     2.1   927.5      .0
  110 1936  apr    19    17.4    88.1     2.1    -2.1      .0   925.5      .0
  111 1936  apr    20    18.7    87.2     1.4      .0    -1.4   921.1      .0
  112 1936  apr    21    19.1    87.4     1.8    -1.7      .7   920.6     1.5
  113 1936  apr    22    18.0    92.6     2.0    -1.9     -.8   920.2      .5
  114 1936  apr    23    18.5    89.8     2.8     2.0    -2.0   920.7      .1
  115 1936  apr    24    18.1    86.4     2.7     1.9    -1.9   921.4     1.6
  116 1936  apr    25    15.8    78.7     2.3      .0    -2.3   923.0      .0
  117 1936  apr    26    17.0    80.7     2.3      .0    -2.3   923.3      .0
  118 1936  apr    27    17.5    82.5     1.9      .0    -1.9   923.9      .1
  119 1936  apr    28    18.1    88.4     1.2      .0    -1.2   924.0      .2
  120 1936  apr    29    19.6    88.5     2.0     -.8    -1.8   925.5      .2
  121 1936  apr    30    20.6    82.2     3.1    -1.2    -2.9   925.1    21.8
  122 1936  may     1    18.3    89.5     2.2     -.8     2.0   925.4    12.2
  123 1936  may     2    19.4    86.6     2.3    -1.6    -1.6   924.7      .0
  124 1936  may     3    19.7    93.0     2.8    -2.0     2.0   925.8    10.4
  125 1936  may     4    19.1    92.3     4.2    -2.9     2.9   928.8      .0
  126 1936  may     5    20.1    87.3     3.2    -2.2    -2.2   926.4      .0
  127 1936  may     6    20.3    85.2     2.8    -1.1    -2.6   925.0      .0
  128 1936  may     7    18.4    93.5     2.6    -1.0     2.4   927.5     2.8
  129 1936  may     8    18.3    92.7     4.4    -3.1     3.1   928.4      .1
  130 1936  may     9    19.7    86.0     3.0    -2.1    -2.1   926.9      .0
  131 1936  may    10    19.8    83.4     2.0    -1.4    -1.4   926.7      .0
  132 1936  may    11    20.3    83.4     1.4    -1.3     -.5   926.4      .0
  133 1936  may    12    19.9    82.4     1.5    -1.1     1.1   927.2      .0
  134 1936  may    13    19.2    88.3     2.8    -2.0     2.0   927.2      .0
  135 1936  may    14    19.1    81.8     1.9      .0    -1.9   926.8      .1
  136 1936  may    15    18.5    87.0     2.1    -1.5     1.5   927.2      .0
  137 1936  may    16    18.8    85.9     2.1    -2.0     -.8   927.2      .0
  138 1936  may    17    17.7    76.9     2.5      .0    -2.5   926.0      .0
  139 1936  may    18    16.3    87.2     1.7     -.6     1.5   927.4      .0
  140 1936  may    19    17.9    88.6     2.5    -1.8     1.8   928.6      .0
  141 1936  may    20    18.7    85.7     2.2    -1.6     1.6   926.7      .4
  142 1936  may    21    18.6    82.0     2.6      .0    -2.6   925.9      .3
  143 1936  may    22    19.4    81.0     1.3      .0    -1.3   926.5      .0
  144 1936  may    23    18.0    86.4     1.6      .0    -1.6   927.8      .0
  145 1936  may    24    18.8    83.3     2.1    -1.9     -.8   928.2      .0
  146 1936  may    25    17.7    78.5     1.8      .0    -1.8   928.4      .0
  147 1936  may    26    18.5    78.5     1.9      .0    -1.9   927.6      .0
  148 1936  may    27    19.4    76.8     2.5     1.0    -2.3   926.2      .0
  149 1936  may    28    19.8    74.5     4.1     2.9    -2.9   926.2      .1
  150 1936  may    29    18.3    90.3     2.3    -1.6     1.6   930.1      .9
  151 1936  may    30    18.6    90.2     2.3     -.9     2.1   930.6      .2
  152 1936  may    31    17.7    83.3     2.4     1.7    -1.7   927.1      .3
  153 1936  jun     1    19.2    77.4     4.1     2.9    -2.9   924.9      .0
  154 1936  jun     2    19.4    79.4     3.2      .0    -3.2   924.8      .0
  155 1936  jun     3    20.6    69.7     5.7     4.0    -4.0   924.0      .0
  156 1936  jun     4    18.4    87.7     2.0     1.8      .8   926.5      .0
  157 1936  jun     5    20.0    76.3     3.5    -2.5    -2.5   924.4      .0
  158 1936  jun     6    19.2    73.8     2.4      .9    -2.3   924.1      .2
  159 1936  jun     7    18.2    80.6     1.2      .0    -1.2   925.2      .0
  160 1936  jun     8    17.9    76.8     2.3      .9    -2.1   924.3      .0
  161 1936  jun     9    17.4    73.7     3.5      .0    -3.5   923.5      .1
