"latitude","longitude","cep","casosAcumulados","casosRecuperados","casosRecuperados.1","casosAtivos","casosAtivos.1","ultimaNotificacao","ultimaNotificacao.1"
-22.9075098,-43.5339538,23015000,12,11,11,1,1,"25/07/2020","25/07/2020"
-22.9933943,-43.3032864,22641004,12,10,10,0,0,"10/07/2020","10/07/2020"
-22.9265504,-43.2267041,20521000,12,10,10,0,0,"24/06/2020","24/06/2020"
-23.020256,-43.4643581,22795200,12,12,12,0,0,"16/07/2020","16/07/2020"
-22.9104902,-43.1921964,20211030,12,6,6,0,0,"08/06/2020","08/06/2020"
-22.9063876,-43.5457571,23052320,12,10,10,0,0,"17/07/2020","17/07/2020"
-22.9269649,-43.2518485,20540220,12,11,11,1,1,"26/07/2020","26/07/2020"
-22.9693043,-43.3883537,22775052,12,11,11,0,0,"24/07/2020","24/07/2020"
-23.0286723,-43.4768181,22795050,12,10,10,1,1,"21/07/2020","21/07/2020"
-22.9309943,-43.245652,20530500,12,12,12,0,0,"25/06/2020","25/06/2020"
-22.9160388,-43.4012378,22723000,12,11,11,0,0,"26/06/2020","26/06/2020"
-22.9113145,-43.6085816,23060660,12,10,10,2,2,"21/07/2020","21/07/2020"
-22.8970072,-43.5521331,23085600,12,11,11,1,1,"17/07/2020","17/07/2020"
-22.8906204,-43.2362803,20930090,12,12,12,0,0,"08/07/2020","08/07/2020"
-23.0122421,-43.3015436,22620062,12,12,12,0,0,"24/07/2020","24/07/2020"
-22.9217731,-43.2314426,20540090,12,12,12,0,0,"15/07/2020","15/07/2020"
-23.0048151,-43.3831976,22793580,12,11,11,0,0,"15/07/2020","15/07/2020"
-22.9661573,-43.3903882,22775090,12,11,11,0,0,"21/07/2020","21/07/2020"
-22.9284403,-43.2421756,20510390,12,11,11,0,0,"07/07/2020","07/07/2020"
-22.9570594,-43.1975657,22271060,12,10,10,1,1,"25/07/2020","25/07/2020"
-22.8991016,-43.2323497,20920220,12,11,11,0,0,"22/07/2020","22/07/2020"
-22.955212,-43.1831099,22280070,12,9,9,0,0,"13/07/2020","13/07/2020"
-23.0108742,-43.3090917,22621180,12,12,12,0,0,"15/07/2020","15/07/2020"
-22.9539206,-43.200826,22261040,13,11,11,0,0,"17/07/2020","17/07/2020"
-22.9072688,-43.2995809,20730440,13,12,12,0,0,"29/06/2020","29/06/2020"
-22.9060418,-43.2832371,20725060,13,13,13,0,0,"25/06/2020","25/06/2020"
-22.8398781,-43.3293151,21235210,13,12,12,0,0,"02/07/2020","02/07/2020"
-22.9494127,-43.1931493,22260140,13,13,13,0,0,"23/07/2020","23/07/2020"
-22.8920099,-43.6538284,23575330,13,11,11,0,0,"24/06/2020","24/06/2020"
-22.8254932,-43.4084696,21630130,13,12,12,0,0,"03/07/2020","03/07/2020"
-22.8359834,-43.3201099,21235490,13,11,11,1,1,"24/07/2020","24/07/2020"
-22.8263961,-43.2862245,21011240,13,13,13,0,0,"14/07/2020","14/07/2020"
-22.9831168,-43.2048961,22420030,13,12,12,0,0,"21/07/2020","21/07/2020"
-22.8373635,-43.3213173,21235550,13,13,13,0,0,"27/06/2020","27/06/2020"
-22.8060337,-43.3152803,21241340,13,12,12,0,0,"06/07/2020","06/07/2020"
-22.979442,-43.2202902,22430070,13,11,11,0,0,"17/07/2020","17/07/2020"
-22.9856146,-43.2070959,22410040,13,12,12,1,1,"02/07/2020","02/07/2020"
-22.982488,-43.2008939,22421025,13,12,12,1,1,"24/07/2020","24/07/2020"
-22.826373,-43.398827,21645180,13,12,12,1,1,"23/07/2020","23/07/2020"
-22.9072832,-43.2980722,20730320,13,12,12,0,0,"24/07/2020","24/07/2020"
-22.9580113,-43.1967337,22271044,13,13,13,0,0,"06/07/2020","06/07/2020"
-22.9223685,-43.2641091,20561090,13,13,13,0,0,"15/06/2020","15/06/2020"
-22.8464575,-43.3799118,21660000,13,12,12,0,0,"22/07/2020","22/07/2020"
-22.8493628,-43.5240349,23097220,13,12,12,0,0,"10/07/2020","10/07/2020"
-22.8849388,-43.3312766,21311050,13,12,12,0,0,"09/07/2020","09/07/2020"
-22.9667629,-43.2024067,22471140,13,12,12,0,0,"10/07/2020","10/07/2020"
-22.9663704,-43.2018016,22471150,13,13,13,0,0,"25/07/2020","25/07/2020"
-22.8375336,-43.3481728,21510105,13,11,11,0,0,"23/07/2020","23/07/2020"
-22.9171474,-43.6340824,23585125,13,12,12,0,0,"10/07/2020","10/07/2020"
-22.9211613,-43.2332568,20540092,13,12,12,0,0,"02/07/2020","02/07/2020"
-22.9162667,-43.4181103,22723195,13,12,12,0,0,"02/07/2020","02/07/2020"
-22.9446544,-43.2604805,20530450,13,10,10,1,1,"23/07/2020","23/07/2020"
-23.003314,-43.3269589,22631010,13,13,13,0,0,"09/07/2020","09/07/2020"
-22.8828598,-43.3634046,21330680,13,12,12,0,0,"24/06/2020","24/06/2020"
-22.9403481,-43.245458,20530080,13,10,10,0,0,"29/06/2020","29/06/2020"
-22.9363693,-43.2447452,20530000,13,13,13,0,0,"04/07/2020","04/07/2020"
-22.9334975,-43.243536,20511310,13,12,12,0,0,"24/06/2020","24/06/2020"
-23.0013106,-43.3600872,22631390,13,10,10,1,1,"22/07/2020","22/07/2020"
-22.8852863,-43.3489975,21341460,13,11,11,0,0,"09/07/2020","09/07/2020"
-22.8609132,-43.3309748,21360202,13,12,12,0,0,"21/07/2020","21/07/2020"
-22.9298321,-43.3710942,22710074,13,13,13,0,0,"02/07/2020","02/07/2020"
-22.8661736,-43.3417169,21360000,13,12,12,0,0,"21/07/2020","21/07/2020"
