"ano","mes","dia","t.ar"
2005,9,17,14.8
2005,9,18,16.2
2005,9,19,20.2
2005,9,20,16.6
2005,9,21,15.9
2005,9,22,17.4
2005,9,23,18.8
2005,9,24,18.9
2005,9,25,19.2
2005,9,26,13.6
2005,9,27,12.7
2005,9,28,14.3
2005,9,29,16.1
2005,9,30,18.6
2005,10,1,19.4
2005,10,2,17
2005,10,3,19.2
2005,10,4,22.9
2005,10,5,19.9
2005,10,6,18.1
2005,10,7,18.7
2005,10,8,22.8
2005,10,9,20.7
2005,10,10,16.9
2005,10,11,18.2
2005,10,12,23.2
2005,10,13,25.5
2005,10,14,23.9
2005,10,15,18.7
2005,10,16,19.8
2005,10,17,22.5
2005,10,18,17.7
2005,10,19,16.2
2005,10,20,18.4
2005,10,21,22.1
2005,10,22,21.1
2005,10,23,18.8
2005,10,24,18.8
2005,10,25,23.6
2005,10,26,21.2
2005,10,27,20.9
2005,10,28,22.2
2005,10,29,18.2
2005,10,30,16.1
2005,10,31,16.5
2005,11,1,15
2005,11,2,16.2
2005,11,3,19.5
2005,11,4,19.5
2005,11,5,20.7
2005,11,6,20.4
2005,11,7,20.4
2005,11,8,16.1
2005,11,9,15.9
2005,11,10,16.2
2005,11,11,17
2005,11,12,18.3
2005,11,13,19.2
2005,11,14,20
2005,11,15,22.8
2005,11,16,22.8
2005,11,17,20.2
2005,11,18,22.3
2005,11,19,24.3
2005,11,20,18.9
2005,11,21,19.1
2005,11,22,20.7
2005,11,23,22.8
2005,11,24,24.1
2005,11,25,19.4
2005,11,26,16.1
2005,11,27,17.9
2005,11,28,18.7
2005,11,29,22.2
2005,11,30,22.3
2005,12,1,22.7
2005,12,2,17.9
2005,12,3,16
2005,12,4,19.3
2005,12,5,23.1
2005,12,6,21.1
2005,12,7,17.3
2005,12,8,18.2
2005,12,9,20.5
2005,12,10,21.1
2005,12,11,16.6
2005,12,12,16.7
2005,12,13,18.2
2005,12,14,17.6
2005,12,15,18.9
2005,12,16,22.2
2005,12,17,23
2005,12,18,20.1
2005,12,19,22.7
2005,12,20,22.6
2005,12,21,21.2
2005,12,22,21.9
2005,12,23,25.1
2005,12,24,23.6
2005,12,25,19.9
2005,12,26,20.1
2005,12,27,18.8
2005,12,28,19
2005,12,29,20.3
2005,12,30,22.4
2005,12,31,23
